Timestamp, x, y, z
22:23:06.88,-0.20941162,0.9557495,9.551254
22:23:06.90,0.032409668,0.96173096,9.653
22:23:06.92,0.2407074,1.0347595,9.806229
22:23:06.94,0.32809448,1.0395508,9.897217
22:23:06.96,0.36878967,0.9916687,9.921158
22:23:07.06,0.27900696,0.9569397,9.814606
22:23:07.06,0.056350708,1.0754547,9.661377
22:23:07.06,-0.1268158,1.2921295,9.485413
22:23:07.06,-0.15075684,1.5255737,9.448303
22:23:07.06,0.033599854,1.7841492,9.423157
22:23:07.13,0.22692871,1.6758118,10.076782
22:23:07.15,-0.10884094,1.4902496,10.30304
22:23:07.17,-0.13458252,1.3693542,9.670364
22:23:07.19,-0.018463135,1.3855133,9.007767
22:23:07.21,0.10722351,1.4537506,9.013763
22:23:07.23,0.22872925,1.554306,9.427353
22:23:07.25,0.26583862,1.7027435,9.681137
22:23:07.27,0.23771667,1.846405,9.641632
22:23:07.29,0.24009705,1.7362671,9.772125
22:23:07.31,0.22454834,1.5405426,9.991196
22:23:07.33,0.21855164,1.4603271,9.8684845
22:23:07.35,0.09944153,1.4184265,9.564423
22:23:07.37,0.015045166,1.4328003,9.275314
22:23:07.40,-0.052581787,1.5399323,9.27652
22:23:07.42,-0.051986694,1.7380524,9.296875
22:23:07.44,-0.022659302,1.803894,9.490204
22:23:07.46,0.13476563,1.874527,9.751175
22:23:07.48,0.3035431,1.953537,9.670364
22:23:07.50,0.34605408,2.0457153,9.509949
22:23:07.52,0.4513855,2.115738,9.469254
22:23:07.54,0.5226135,2.1690063,9.490204
22:23:07.56,0.5585327,2.2869263,9.47583
22:23:07.58,0.5303955,2.3779144,9.491394
22:23:07.60,0.50946045,2.401245,9.530899
22:23:07.62,0.43403625,2.3910828,9.480026
22:23:07.64,0.41189575,2.4503326,9.4375305
22:23:07.66,0.46217346,2.5365295,9.347153
22:23:07.68,0.45498657,2.6113434,9.299271
22:23:07.70,0.41667175,2.7280579,9.260361
22:23:07.72,0.40829468,2.9076233,9.324997
22:23:07.74,0.43104553,3.0470886,9.350143
22:23:07.76,0.50167847,3.171585,9.327393
22:23:07.78,0.5986328,3.348755,9.33577
22:23:07.80,0.6237793,3.4313507,9.292084
22:23:07.82,0.73031616,3.5480804,9.264542
22:23:07.84,0.76742554,3.6360626,9.207092
22:23:07.86,0.7829895,3.6827393,9.166382
22:23:07.88,0.8189087,3.6402435,9.203491
22:23:07.90,0.6848297,3.54747,9.277115
22:23:07.92,0.5974426,3.554657,9.269333
22:23:07.95,0.5573425,3.672577,9.177155
22:23:07.96,0.5848694,3.7569733,9.115509
22:23:07.98,0.5944519,3.7928772,8.955093
22:23:08.00,0.62677,3.8760834,8.916199
22:23:08.02,0.7333069,3.909607,9.153809
22:23:08.05,1.0050507,3.8623047,9.408203
22:23:08.07,0.9769287,3.7982635,9.246597
22:23:08.09,0.86439514,3.6827545,9.027527
22:23:08.11,0.7907715,3.6516266,8.96048
22:23:08.13,0.80274963,3.6791534,8.873703
22:23:08.15,0.8015442,3.751587,8.861725
22:23:08.17,0.86857605,3.8730927,8.912598
22:23:08.19,0.85720825,3.9113922,9.025131
22:23:08.21,0.85362244,3.94133,9.305252
22:23:08.23,0.73750305,3.9634705,9.487213
22:23:08.25,0.7315216,3.929947,9.449509
22:23:08.27,0.839859,3.8575287,9.292679
22:23:08.29,1.0427551,3.8246002,9.050262
22:23:08.31,1.215744,3.6755676,9.023926
22:23:08.33,1.2342987,3.5833893,9.233429
22:23:08.35,1.1582794,3.570221,9.292679
22:23:08.37,1.0134277,3.6797638,9.234619
22:23:08.40,0.923645,3.7970734,9.050278
22:23:08.41,0.78837585,3.815033,8.906616
22:23:08.43,0.5938568,3.8503418,8.870102
22:23:08.45,0.50286865,3.8269958,9.073013
22:23:08.47,0.555542,3.7348175,9.250183
22:23:08.49,0.69859314,3.6121216,9.462067
22:23:08.51,0.87457275,3.5175476,9.465668
22:23:08.54,0.97750854,3.3750916,9.385452
