Timestamp, latitude, longitude
22:29:16.03,42.446103,-76.4840549
22:29:18.65,42.4459485,-76.4840651
22:29:20.69,42.4458026,-76.4840152
22:29:23.63,42.4456262,-76.4839139
22:29:26.64,42.4454748,-76.4838156
22:29:29.63,42.4453668,-76.4837318
22:29:32.62,42.4453259,-76.4836175
22:29:35.64,42.4453438,-76.4834572
22:29:37.61,42.4453408,-76.4833489
22:29:39.63,42.4453278,-76.4832396
22:29:41.63,42.4453264,-76.4831495
22:29:44.61,42.4454247,-76.4831153
22:29:46.61,42.4454966,-76.4831348
22:29:49.62,42.4454813,-76.4832918
22:29:52.62,42.445536,-76.4834025
22:29:54.64,42.4455583,-76.4834073
22:29:57.62,42.4455775,-76.4833993
22:30:00.62,42.4455751,-76.4834096
22:30:02.64,42.4455672,-76.4834059
22:30:04.68,42.4455483,-76.4834069
22:30:07.66,42.44554,-76.4834446
22:30:09.70,42.4455724,-76.4834688
22:30:12.66,42.4456158,-76.4834733
22:30:13.48,42.4456158,-76.4834733
22:30:14.65,42.4456082,-76.4834779
