Timestamp, latitude, longitude
22:34:10.72,42.4454915,-76.483859
22:34:13.62,42.445492,-76.4838503
22:34:16.62,42.4454255,-76.4837144
22:34:19.63,42.4453832,-76.483577
22:34:22.63,42.4453827,-76.4835136
22:34:25.62,42.4453556,-76.4834331
22:34:28.62,42.4453368,-76.4834016
22:34:30.62,42.4453189,-76.4833784
22:34:32.68,42.4453038,-76.4833043
22:34:35.66,42.4453129,-76.4832045
22:34:37.69,42.4453299,-76.4831847
22:34:40.67,42.4453733,-76.4831437
22:34:43.64,42.4454706,-76.4831128
22:34:45.64,42.445526,-76.4831433
22:34:48.68,42.4455411,-76.4832258
22:34:50.69,42.4455286,-76.4832205
22:34:53.93,42.4455225,-76.4832464
22:34:56.60,42.4454919,-76.4833942
22:34:58.62,42.4454827,-76.4833987
22:35:00.63,42.4454747,-76.4834226
22:35:02.88,42.4454212,-76.4834665
22:35:05.61,42.4453256,-76.4834806
22:35:07.63,42.4452854,-76.4834959
22:35:08.01,42.4452854,-76.4834959
22:35:12.02,42.445288, -76.483630
22:35:15.02,42.445282, -76.483737
